date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
01:36:59	104678/104678	---MCZ	200	added ('OK')	text/html	date:Tue,%2012%20Mar%202019%2008:36:58%20GMT	https://developer.mozilla.org/en-US/docs/Web/HTML/Element/big	./SITES/HTML%20tutorial/developer.mozilla.org/en-US/docs/Web/HTML/Element/big.html	(from https://developer.mozilla.org/en-US/docs/Web/HTML/Element/input/checkbox)
01:37:00	106057/106057	---MCZ	200	added ('OK')	text/html	date:Tue,%2012%20Mar%202019%2008:36:59%20GMT	https://developer.mozilla.org/en-US/docs/Web/HTML/Element/blink	./SITES/HTML%20tutorial/developer.mozilla.org/en-US/docs/Web/HTML/Element/blink.html	(from https://developer.mozilla.org/en-US/docs/Web/HTML/Element/input/checkbox)
01:37:01	119179/119179	---MCZ	200	added ('OK')	text/html	date:Tue,%2012%20Mar%202019%2008:37:00%20GMT	https://developer.mozilla.org/en-US/docs/Web/HTML/Element/blockquote	./SITES/HTML%20tutorial/developer.mozilla.org/en-US/docs/Web/HTML/Element/blockquote.html	(from https://developer.mozilla.org/en-US/docs/Web/HTML/Element/input/checkbox)
01:37:02	212624/212624	---MCZ	200	added ('OK')	text/html	date:Tue,%2012%20Mar%202019%2008:37:01%20GMT	https://developer.mozilla.org/en-US/docs/Web/HTML/Element/body	./SITES/HTML%20tutorial/developer.mozilla.org/en-US/docs/Web/HTML/Element/body.html	(from https://developer.mozilla.org/en-US/docs/Web/HTML/Element/input/checkbox)
01:37:03	123346/123346	---MCZ	200	added ('OK')	text/html	date:Tue,%2012%20Mar%202019%2008:37:02%20GMT	https://developer.mozilla.org/en-US/docs/Web/HTML/Element/br	./SITES/HTML%20tutorial/developer.mozilla.org/en-US/docs/Web/HTML/Element/br.html	(from https://developer.mozilla.org/en-US/docs/Web/HTML/Element/input/checkbox)
01:37:04	135592/135592	---MCZ	200	added ('OK')	text/html	date:Tue,%2012%20Mar%202019%2008:37:03%20GMT	https://developer.mozilla.org/en-US/docs/Web/HTML/Element/canvas	./SITES/HTML%20tutorial/developer.mozilla.org/en-US/docs/Web/HTML/Element/canvas.html	(from https://developer.mozilla.org/en-US/docs/Web/HTML/Element/input/checkbox)
01:37:05	118028/118028	---MCZ	200	added ('OK')	text/html	date:Tue,%2012%20Mar%202019%2008:37:04%20GMT	https://developer.mozilla.org/en-US/docs/Web/HTML/Element/caption	./SITES/HTML%20tutorial/developer.mozilla.org/en-US/docs/Web/HTML/Element/caption.html	(from https://developer.mozilla.org/en-US/docs/Web/HTML/Element/input/checkbox)
01:37:06	107551/107551	---MCZ	200	added ('OK')	text/html	date:Tue,%2012%20Mar%202019%2008:37:05%20GMT	https://developer.mozilla.org/en-US/docs/Web/HTML/Element/center	./SITES/HTML%20tutorial/developer.mozilla.org/en-US/docs/Web/HTML/Element/center.html	(from https://developer.mozilla.org/en-US/docs/Web/HTML/Element/input/checkbox)
01:37:07	117429/117429	---MCZ	200	added ('OK')	text/html	date:Tue,%2012%20Mar%202019%2008:37:06%20GMT	https://developer.mozilla.org/en-US/docs/Web/HTML/Element/cite	./SITES/HTML%20tutorial/developer.mozilla.org/en-US/docs/Web/HTML/Element/cite.html	(from https://developer.mozilla.org/en-US/docs/Web/HTML/Element/input/checkbox)
01:37:08	116594/116594	---MCZ	200	added ('OK')	text/html	date:Tue,%2012%20Mar%202019%2008:37:07%20GMT	https://developer.mozilla.org/en-US/docs/Web/HTML/Element/code	./SITES/HTML%20tutorial/developer.mozilla.org/en-US/docs/Web/HTML/Element/code.html	(from https://developer.mozilla.org/en-US/docs/Web/HTML/Element/input/checkbox)
01:37:09	154448/154448	---MCZ	200	added ('OK')	text/html	date:Tue,%2012%20Mar%202019%2008:37:08%20GMT	https://developer.mozilla.org/en-US/docs/Web/HTML/Element/col	./SITES/HTML%20tutorial/developer.mozilla.org/en-US/docs/Web/HTML/Element/col.html	(from https://developer.mozilla.org/en-US/docs/Web/HTML/Element/input/checkbox)
